Code;Classification;Type;Accounting account name;Previous balance;Debit;Credit;Current balance
1;01;T;ASSETS;3,092,154.59D;56,472.10;98,903.09;3,049,723.60D
2;01.01;T;CURRENT ASSETS;1,138,735.86D;52,776.86;98,853.51;1,092,659.21D
3;01.01.001;T;SHORT TERM ASSETS;522.69D;16,607.98;16,460.28;670.39D
4;01.01.001.001;T;CASH;505.56D;0.00;0.00;505.56D
5;01.01.001.001.001;C;Petty Cash;505.56D;0.00;0.00;505.56D
621;01.01.001.001.001.001;;Petty Cash - BRL;505.56D;0.00;0.00;505.56D
6;01.01.001.002;T;BANKS;17.13D;16,607.98;16,460.28;164.83D
631;01.01.001.002.008;C;Banco Itaú S/A;17.13D;16,607.98;16,460.28;164.83D
632;01.01.001.002.008.001;;Banco Itaú S/A;17.13D;16,607.98;16,460.28;164.83D
782;01.01.002;T;INVESTMENTS;54,132.75D;199.95;15,944.65;38,388.05D
24;01.01.002.001;T;FIXED INCOME INVESTMENTS;54,132.75D;199.95;15,944.65;38,388.05D
695;01.01.002.001.008;C;Fundo/CDB Banco Itaú S/A;54,132.75D;199.95;15,944.65;38,388.05D
696;01.01.002.001.008.001;;Fundo/CDB Banco Itaú S/A;54,132.75D;199.95;15,944.65;38,388.05D
14;01.01.003;T;ACCOUNTS RECEIVABLES;737.98D;0.00;737.98;0.00
15;01.01.003.001;T;ACCOUNTS RECEIVABLES - NATIONAL;737.98D;0.00;737.98;0.00
16;01.01.003.001.000878708;;Josimar Basquerote;737.98D;0.00;737.98;0.00
784;01.01.005;T;ADVANCES;77,603.76D;0.00;0.00;77,603.76D
60;01.01.005.002;T;ADVANCES TO THIRD PARTIES;77,603.76D;0.00;0.00;77,603.76D
35;01.01.005.002.004;;Travel advance;77,603.76D;0.00;0.00;77,603.76D
786;01.01.006;T;RECOVERABLE AND COMPENSABLE TAXES;145,301.70D;35,968.93;40,131.61;141,139.02D
40;01.01.006.001;T;RECOVERABLE TAXES;145,301.70D;35,968.93;40,131.61;141,139.02D
47;01.01.006.001.007;;COFINS recoverable;83,378.63D;0.00;155.81;83,222.82D
41;01.01.006.001.001;;ICMS VAT recoverable;16,554.76D;12,498.57;16,554.77;12,498.56D
2654;01.01.006.001.015;;ICMS credit recoverable;23,395.71D;23,395.71;23,395.71;23,395.71D
2655;01.01.006.001.016;;IRRF on Investments;3,749.46D;74.65;0.00;3,824.11D
46;01.01.006.001.006;;PIS recoverable;18,223.14D;0.00;25.32;18,197.82D
785;01.01.008;T;INVENTORY;860,436.98D;0.00;25,578.99;834,857.99D
54;01.01.008.001;T;INVENTORY - MERCHANDISE;860,436.98D;0.00;25,578.99;834,857.99D
55;01.01.008.001.004;C;Merchandise inventory;860,436.98D;0.00;25,578.99;834,857.99D
3281;01.01.008.001.004.001;;Merchandise inventory;860,436.98D;0.00;25,578.99;834,857.99D
78;01.02;T;NON CURRENT ASSETS;1,953,418.73D;3,695.24;49.58;1,957,064.39D
79;01.02.001;T;LONG TERM ASSETS;1,951,250.20D;3,695.24;0.00;1,954,945.44D
89;01.02.001.007;T;LOANS TO THIRD PARTIES;1,951,250.20D;3,695.24;0.00;1,954,945.44D
